Transaction id,Account id,Merchant_id,Device_id,Tansaction amount,Transaction time,Transaction city,Transaction status
TXN_D4AF2D7FD1EB4F46,ACC_R6E3KGLR,MER_HNNYWKIX,DEV_6JHUNNAA,2103,2025-01-20 16:36:00,Hyderabad,SUCCESS
TXN_46F1FEE881D841F7,ACC_R473Z7JL,MER_4ARP7RFY,DEV_XRD4D22E,1401,2025-01-21 10:04:00,Mumbai,SUCCESS
TXN_13E08DA6B3B74E38,ACC_U1R4IAIG,MER_QX881QRW,DEV_S9TX7ACN,1891,2025-01-22 08:06:00,Mumbai,SUCCESS
TXN_6B693D37AC5643B9,ACC_BMWUNU86,MER_J7MH18F7,DEV_XIZEC16L,1926,2025-01-23 16:25:00,Mumbai,FAILED
TXN_99DE3124454B4DF5,ACC_JNWDE5RV,MER_3DMH0GPA,DEV_KBFS0R5T,752,2025-01-24 20:48:00,Delhi,SUCCESS
TXN_1CCD52854A614FAD,ACC_QM1EV9LX,MER_LEVY6KRL,DEV_QACMX9SB,2071,2025-01-25 20:17:00,Mumbai,SUCCESS
TXN_EC500F420BBA483C,ACC_9403605O,MER_RO1HGOAV,DEV_KAO9ZZ4U,524,2025-01-26 13:57:00,Delhi,SUCCESS
TXN_5C3DCF13F866404D,ACC_JZO8PYVQ,MER_N5BSRT38,DEV_JI5W8PIF,659,2025-01-27 23:55:00,Hyderabad,SUCCESS
TXN_17B0E93EDF634B98,ACC_HAGZ8QIM,MER_9B0QI757,DEV_GBZ51HJN,2911,2025-01-28 10:53:00,Hyderabad,SUCCESS
TXN_F54EF59942FE4638,ACC_YRH0OB6S,MER_65D4R7E5,DEV_M1LFFUMY,2682,2025-01-29 02:06:00,Hyderabad,SUCCESS
TXN_8C025D008B044384,ACC_WFS600EY,MER_G9ZIWF6A,DEV_8QTGZCOH,3494,2025-01-30 05:17:00,Chennai,SUCCESS
TXN_BE5C95EA6E444404,ACC_NZEXDEWE,MER_U4Q6LAEJ,DEV_A8SBB1U7,430,2025-01-31 08:40:00,Delhi,SUCCESS
TXN_E86963D0BE6E431C,ACC_EK9TWAAI,MER_5OEOA9F9,DEV_64EH8YF1,2685,2025-02-01 02:50:00,Mumbai,SUCCESS
TXN_5E25ACFF69644CBB,ACC_OZT50R7W,MER_F8B2AK04,DEV_BQU0Z6TP,3189,2025-02-02 01:14:00,Chennai,SUCCESS
TXN_C59C169601F041A8,ACC_2UKJD7QU,MER_4HU8QCU5,DEV_AXZ2H3PK,2550,2025-02-03 07:23:00,Chennai,SUCCESS
TXN_412DB2DFD43E4DED,ACC_ZIFDWHUA,MER_TAGE5ZLG,DEV_4NXEBZSP,279,2025-02-04 10:48:00,Hyderabad,SUCCESS
TXN_DAFEC81123C34AB8,ACC_IVVMRLXC,MER_10WSVRI9,DEV_M1LFFUMY,774,2025-02-05 02:49:00,Bangalore,FAILED
TXN_EEE8DA0E1A774581,ACC_W01466ZS,MER_B7RH0556,DEV_4NXEBZSP,2820,2025-02-06 21:16:00,Hyderabad,SUCCESS
TXN_1ED71466AA8E46B1,ACC_YPMN8TTI,MER_B7RH0556,DEV_7BPK4LIZ,420,2025-02-07 22:47:00,Bangalore,SUCCESS
TXN_9951A4E68C0B4DFC,ACC_EJLHYJBU,MER_KYSE499S,DEV_15M7RBO8,3158,2025-02-08 05:34:00,Bangalore,SUCCESS
TXN_46B054C1DE524CEE,ACC_D2KPAXE2,MER_KYSE499S,DEV_MQA20MY6,275,2025-02-09 08:51:00,Chennai,SUCCESS
TXN_21644905420D48F8,ACC_7980WSWJ,MER_JQCTQM6Z,DEV_64EH8YF1,2072,2025-02-10 04:04:00,Delhi,SUCCESS
TXN_5617A4D689604BEA,ACC_9VDZN97L,MER_FY5HRC5L,DEV_MQA20MY6,1826,2025-02-11 23:09:00,Hyderabad,SUCCESS
TXN_3D6BAF0401DF48F0,ACC_HSR5M43T,MER_7NMFFXPH,DEV_TMFL6CH5,1851,2025-02-12 04:47:00,Hyderabad,SUCCESS
TXN_5B9B69DBE1854918,ACC_V7L1PLE8,MER_WPPBPGIF,DEV_DQDYP9NF,2829,2025-02-13 13:56:00,Hyderabad,SUCCESS
TXN_81789B42779F4FFA,ACC_PK877B7G,MER_WP327NGN,DEV_KQN12VBP,2995,2025-02-14 13:19:00,Bangalore,SUCCESS
TXN_47796B26392B438C,ACC_ZH79N3F5,MER_V7PU311X,DEV_Q16IJQ3Y,2482,2025-02-15 08:07:00,Hyderabad,SUCCESS
TXN_EA409F030E244368,ACC_VVG5NB0B,MER_ZO5M2KSE,DEV_ID9AZ7DM,1323,2025-02-16 06:25:00,Mumbai,FAILED
TXN_571CFA0171584330,ACC_Y8CS788O,MER_KXW8VPCR,DEV_FSL9ELMQ,2573,2025-02-17 06:11:00,Hyderabad,SUCCESS
TXN_EADB0B101271436C,ACC_XIMY8OA0,MER_UV8VCNZN,DEV_4NXEBZSP,2596,2025-02-18 20:01:00,Bangalore,SUCCESS
TXN_8A6CC061520A4D52,ACC_NWK15JSE,MER_JQCTQM6Z,DEV_5HUGPFP0,1469,2025-02-19 22:39:00,Hyderabad,SUCCESS
TXN_789711B6882A41C8,ACC_BYKQKBER,MER_NHV7J8FV,DEV_BQU0Z6TP,1421,2025-02-20 10:59:00,Chennai,SUCCESS
TXN_D73AB9DEEBDA404C,ACC_1Z6WM67W,MER_7CYYDJ39,DEV_64EH8YF1,2915,2025-02-21 11:02:00,Mumbai,FAILED
TXN_8854604E91CD4DC4,ACC_DSZU3UU4,MER_XEA5578F,DEV_QL9GOONR,3446,2025-02-22 12:38:00,Hyderabad,SUCCESS
TXN_7803CFE1EC8A433E,ACC_6IL9JJBY,MER_JQCTQM6Z,DEV_VAKNTGJN,1277,2025-02-23 01:00:00,Bangalore,SUCCESS
TXN_04C8554595A14FE7,ACC_1WFXGGMZ,MER_7AOO37Z1,DEV_Z6QPF5GD,485,2025-02-24 18:09:00,Mumbai,SUCCESS
TXN_B5D605E152404455,ACC_K1RVLC8M,MER_ILPDW0NH,DEV_HGJOSCAT,189,2025-02-25 21:43:00,Bangalore,SUCCESS
TXN_98EC1F1FBDD6480F,ACC_ERXB2RRE,MER_YLJYZYZO,DEV_Z6QPF5GD,3434,2025-02-26 15:54:00,Hyderabad,SUCCESS
TXN_C4010A37D5F84C0C,ACC_HTMSP7CU,MER_BR40PVMQ,DEV_62KORONA,1365,2025-02-27 02:26:00,Hyderabad,SUCCESS
TXN_A69C648BBEB64BC1,ACC_EV9ST63B,MER_SO8WMWYC,DEV_HGJOSCAT,3355,2025-02-28 05:34:00,Mumbai,SUCCESS
TXN_0144CFC57DB545FA,ACC_UOUTABWX,MER_OG7HTC4G,DEV_FSL9ELMQ,1746,2025-03-01 19:32:00,Bangalore,SUCCESS
TXN_B9A1768365BC48F6,ACC_JC2A61RV,MER_BS277OI3,DEV_5UH1QTQP,969,2025-03-02 10:00:00,Chennai,SUCCESS
TXN_3305212EA1784CA9,ACC_0NXC95SR,MER_IPOEROF0,DEV_BQU0Z6TP,3537,2025-03-03 17:22:00,Hyderabad,SUCCESS
TXN_353D4A8E119A4F27,ACC_WXUPXWPP,MER_UG8SIO26,DEV_L98B3D59,3112,2025-03-04 06:59:00,Chennai,SUCCESS
TXN_705FF5BDEBE5464E,ACC_AIM6BJOP,MER_4UR3ZK7F,DEV_OPWVU7MU,1035,2025-03-05 01:21:00,Delhi,SUCCESS
TXN_37363DC4181B46D7,ACC_OO2VY8S5,MER_VO4880PK,DEV_8BOJO0VJ,242,2025-03-06 10:03:00,Chennai,SUCCESS
TXN_8712AD06C01C445C,ACC_24JE6NIN,MER_Y0KIDG32,DEV_ID9AZ7DM,3896,2025-03-07 00:08:00,Bangalore,SUCCESS
TXN_42F0D3D8E47B4905,ACC_7L9K5WZ8,MER_G9ZIWF6A,DEV_38PEEMC9,848,2025-03-08 04:28:00,Bangalore,SUCCESS
TXN_F0C0D2971B18414F,ACC_23AV43LG,MER_EDXK3V8R,DEV_4NXEBZSP,2772,2025-03-09 16:28:00,Delhi,SUCCESS
TXN_0567CF17148C4899,ACC_9L66A3J2,MER_NG8AM7LD,DEV_BM6J8215,1554,2025-03-10 03:39:00,Hyderabad,SUCCESS
TXN_E2C15D06920B4F10,ACC_2AHK1WRL,MER_EQYJF6N7,DEV_ID9AZ7DM,2460,2025-03-11 06:35:00,Bangalore,SUCCESS
TXN_26638778DDCB4761,ACC_KRRXS077,MER_P9WKKTKT,DEV_C29I4LM2,3209,2025-03-12 14:09:00,Bangalore,SUCCESS
TXN_021D65DC34194FEB,ACC_KRRXS077,MER_O7JBK1O9,DEV_7BPK4LIZ,3682,2025-03-13 21:49:00,Delhi,SUCCESS
TXN_847227B5B8414217,ACC_ODEFL2IL,MER_Q3FY04W1,DEV_38PEEMC9,2455,2025-03-14 14:25:00,Chennai,SUCCESS
TXN_7494449EDF524151,ACC_YPMN8TTI,MER_4HAQIEIC,DEV_PJXW9CKL,3608,2025-03-15 03:20:00,Hyderabad,SUCCESS
TXN_69B3C92A3BF64783,ACC_XYBXMJ24,MER_16QCQY99,DEV_EY7Q2QE8,1068,2025-03-16 21:31:00,Chennai,SUCCESS
TXN_3025200FEB044216,ACC_BGNT4AKV,MER_W0JSP0TD,DEV_0V8PAAWD,578,2025-03-17 22:02:00,Bangalore,SUCCESS
TXN_386ADCBB0DD94E43,ACC_IZVU13LV,MER_1PPLH73C,DEV_C29I4LM2,1342,2025-03-18 14:58:00,Delhi,SUCCESS
TXN_EA244331960149E1,ACC_RZGHRS32,MER_UE7RH2GH,DEV_ECXS8IEM,3617,2025-03-19 03:43:00,Bangalore,FAILED
TXN_E3BA08670F6F47CC,ACC_DYHCTCZX,MER_UE7RH2GH,DEV_4GDPZ18V,1471,2025-03-20 16:20:00,Hyderabad,SUCCESS
TXN_2E216DC1DD2A48E0,ACC_L1D6QBCJ,MER_SYUF9678,DEV_4NXEBZSP,3455,2025-03-21 23:40:00,Hyderabad,SUCCESS
TXN_C3A64311E4F44FC8,ACC_XIMYBVQE,MER_G3DR9Z0R,DEV_RT7U7J8V,3176,2025-03-22 04:42:00,Hyderabad,SUCCESS
TXN_14AABF3453734E9A,ACC_7WRE0MT3,MER_AD3OL17Z,DEV_VAKNTGJN,1448,2025-03-23 20:17:00,Mumbai,SUCCESS
TXN_E8CC8AD264DA47AA,ACC_OLN73TKY,MER_BE50BO6O,DEV_C29I4LM2,2060,2025-03-24 21:16:00,Bangalore,SUCCESS
TXN_B9D0FED941994CE2,ACC_KQLLRK7Y,MER_RLLO5EUE,DEV_PJXW9CKL,3542,2025-03-25 18:42:00,Chennai,SUCCESS
TXN_D3F0A50D69F2487A,ACC_H2KDTHBC,MER_G9ZIWF6A,DEV_Z5L2RQM3,651,2025-03-26 11:14:00,Bangalore,SUCCESS
TXN_A6100AE7CCCA4AC5,ACC_WMGLP6IL,MER_9R8QJ8D7,DEV_5IZRGCRN,3967,2025-03-27 12:41:00,Hyderabad,SUCCESS
TXN_4B03B70310594DB1,ACC_BLDMM5UA,MER_43HDRCOB,DEV_SEN07LJ8,1739,2025-03-28 21:59:00,Bangalore,SUCCESS
TXN_36E209FE02734F95,ACC_SZNHQFS6,MER_RJX2CYC8,DEV_VAKNTGJN,2885,2025-03-29 15:04:00,Hyderabad,FAILED
TXN_0FE83758CD044AAD,ACC_OVJ9OM0O,MER_5F21LUFT,DEV_FY1TDJN1,2478,2025-03-30 05:01:00,Delhi,SUCCESS
TXN_631233D500894F45,ACC_ZO4FQ1DK,MER_MQWIYBCL,DEV_W4UOXPNL,1590,2025-03-31 15:17:00,Chennai,SUCCESS
TXN_3CEAAA99FD2F4104,ACC_VZQ6L613,MER_SYUF9678,DEV_62KORONA,1659,2025-01-01 05:20:00,Bangalore,SUCCESS
TXN_6605B514BB294AE1,ACC_0A8JOCRG,MER_A1IJOOYN,DEV_IANTXX6L,1354,2025-01-02 03:48:00,Mumbai,SUCCESS
TXN_D16EA406AFB94CBB,ACC_GMW74GBG,MER_5XC57BFL,DEV_A8SBB1U7,1677,2025-01-03 00:37:00,Mumbai,SUCCESS
TXN_608F5A3DE8DE45B4,ACC_QNC63WXA,MER_5OEOA9F9,DEV_MEGOFALB,3624,2025-01-04 18:22:00,Bangalore,SUCCESS
TXN_6D2BF0E0A0B14176,ACC_MUQY7771,MER_29MSF9SP,DEV_4C2N32P1,173,2025-01-05 14:15:00,Mumbai,SUCCESS
TXN_9EF082290B71465B,ACC_HQ8GTNUB,MER_E7ZYJUU1,DEV_62KORONA,1554,2025-01-06 17:42:00,Chennai,SUCCESS
TXN_48FEB428FA18447F,ACC_O1BZG3C5,MER_OW4LSRJ0,DEV_HGJOSCAT,1018,2025-01-07 04:48:00,Hyderabad,SUCCESS
TXN_619AE49BB7344C14,ACC_TPXP87OW,MER_JQ2S3ZW9,DEV_62KORONA,2824,2025-01-08 20:59:00,Hyderabad,SUCCESS
TXN_E8D2E9D46CD74CB8,ACC_EPMPP67G,MER_WPPBPGIF,DEV_C8OJ88KF,1772,2025-01-09 10:18:00,Bangalore,SUCCESS
TXN_51FE764FC5CE49A3,ACC_70918CXD,MER_5F21LUFT,DEV_BM6J8215,1157,2025-01-10 21:19:00,Delhi,SUCCESS
TXN_29A9EB9F0DE5434F,ACC_W147E64Q,MER_KYSE499S,DEV_QS1B7EXK,3165,2025-01-11 17:55:00,Bangalore,SUCCESS
TXN_B01ED0545A164CF1,ACC_98RXJ0ZM,MER_2VUH5Q1T,DEV_YOCRM5IX,2553,2025-01-12 18:13:00,Bangalore,SUCCESS
TXN_EF90286DD0934FC0,ACC_R2PCTGDR,MER_OQWG7MBA,DEV_6QMZMEN3,2712,2025-01-13 03:20:00,Delhi,FAILED
TXN_492AC9D0AA324EFB,ACC_JAPUIRSO,MER_UG8SIO26,DEV_9GDCFD9L,2756,2025-01-14 22:06:00,Delhi,SUCCESS
TXN_496571871F5E42F5,ACC_SZNHQFS6,MER_O0WD0ECY,DEV_XRD4D22E,3698,2025-01-15 03:04:00,Bangalore,SUCCESS
TXN_7105227A5D7946C6,ACC_KRU8SKXY,MER_NG8AM7LD,DEV_HFXMI3WF,2135,2025-01-16 01:51:00,Hyderabad,SUCCESS
TXN_7ACFBAFCD08E41F7,ACC_L5S3WCC1,MER_WWJN074L,DEV_KQN12VBP,3938,2025-01-17 06:22:00,Hyderabad,SUCCESS
TXN_2944DE69753A405A,ACC_ESL85VY8,MER_W6LLFVEP,DEV_RWMJ56L0,2697,2025-01-18 10:42:00,Hyderabad,FAILED
TXN_58B131AFFD9D4786,ACC_UWWWU3EL,MER_YLJYZYZO,DEV_0EFGUQAZ,887,2025-01-19 14:46:00,Delhi,SUCCESS
TXN_D06785CE1D0641A6,ACC_QKZ2H6KI,MER_95ZKO4X6,DEV_OPWVU7MU,3847,2025-01-20 05:11:00,Delhi,SUCCESS
TXN_82E14A42D6074EDD,ACC_NXYQDIH9,MER_SAOX27U4,DEV_O6FG2MZ9,3493,2025-01-21 01:40:00,Bangalore,SUCCESS
TXN_44B1A8CE0B5E4D05,ACC_Y1S2DYHU,MER_RGL3TD8I,DEV_23ZV2G2I,1302,2025-01-22 06:21:00,Chennai,SUCCESS
TXN_05B08D29F7EA4F58,ACC_69979JRT,MER_L4EW9N7V,DEV_6JHUNNAA,1412,2025-01-23 23:49:00,Delhi,SUCCESS
TXN_B09347C342B74E8C,ACC_4EFLHUOB,MER_5XC57BFL,DEV_1GBUHYZJ,2473,2025-01-24 05:48:00,Chennai,SUCCESS
TXN_0F24E35487D44DE2,ACC_XCKJ9A31,MER_G303JJCG,DEV_M7SWST3X,425,2025-01-25 18:36:00,Delhi,SUCCESS
TXN_DAB1F18A40EF432E,ACC_BSDO50X4,MER_29MSF9SP,DEV_15M7RBO8,2826,2025-01-26 17:44:00,Bangalore,SUCCESS
TXN_E9A6BBB225F84715,ACC_D4GE5P77,MER_SO8WMWYC,DEV_5UH1QTQP,1384,2025-01-27 12:44:00,Hyderabad,SUCCESS
TXN_908BE443FC874E94,ACC_COPLKDI2,MER_2C71ZPCV,DEV_GMJ9H1T1,3785,2025-01-28 07:27:00,Mumbai,SUCCESS
TXN_8F86ADEA3C504055,ACC_86D9GDOC,MER_2V5779E9,DEV_VAV2V6KN,3956,2025-01-29 06:52:00,Mumbai,SUCCESS
TXN_5163BAE7AC92419E,ACC_M8DQUNK1,MER_ZW2JF6CR,DEV_KBFS0R5T,3468,2025-01-30 12:15:00,Chennai,SUCCESS
TXN_F73070BFA80846D3,ACC_Q8X02WD7,MER_87CMP6US,DEV_ECXS8IEM,3476,2025-01-31 19:07:00,Mumbai,SUCCESS
TXN_043A12637A194AF2,ACC_SFD8S0NW,MER_L4EW9N7V,DEV_UL2T0WWW,2365,2025-02-01 09:23:00,Chennai,SUCCESS
TXN_CD7C812D950448D1,ACC_Q3L64BYQ,MER_N7CCWCPF,DEV_FY1TDJN1,2773,2025-02-02 05:16:00,Bangalore,SUCCESS
TXN_242424CA33A041DB,ACC_BIZU1NZB,MER_5F21LUFT,DEV_RZ4BWA38,2938,2025-02-03 16:59:00,Chennai,SUCCESS
TXN_A17DD7E857844997,ACC_O78WFJ0E,MER_YLKL2LWB,DEV_S9TX7ACN,286,2025-02-04 15:35:00,Hyderabad,SUCCESS
TXN_EC0454A351E44243,ACC_YHGMWG0W,MER_J9Z1JCAE,DEV_1FD34ISE,1127,2025-02-05 22:09:00,Mumbai,SUCCESS
TXN_EA0F1F0BA7BF47A2,ACC_QUQ5BXLN,MER_PSZV62IL,DEV_MQA20MY6,1102,2025-02-06 22:45:00,Delhi,SUCCESS
TXN_5B21D819E28346E1,ACC_Y4YDT7SJ,MER_IL9WK4HQ,DEV_ID9AZ7DM,463,2025-02-07 21:19:00,Hyderabad,SUCCESS
TXN_4A88512023604EBF,ACC_2AHK1WRL,MER_WRUSKLFY,DEV_L98B3D59,3395,2025-02-08 00:13:00,Mumbai,SUCCESS
TXN_97F7BB80C22C42B8,ACC_1OZOZ9VR,MER_W6LLFVEP,DEV_GMJ9H1T1,1816,2025-02-09 11:26:00,Mumbai,SUCCESS
TXN_5E1B8640F51543E2,ACC_OEBK7975,MER_4HAQIEIC,DEV_AXZ2H3PK,799,2025-02-10 12:20:00,Delhi,SUCCESS
TXN_BC9CB1FF34D44A21,ACC_PXLHYOVA,MER_BDQOAEOU,DEV_V0X3C7H4,1385,2025-02-11 00:10:00,Mumbai,SUCCESS
TXN_36479CAAF13840ED,ACC_AIM6BJOP,MER_KXW8VPCR,DEV_RCCJ0WL8,3603,2025-02-12 10:26:00,Bangalore,SUCCESS
TXN_C3156F1B34214F66,ACC_BMTI5NO7,MER_3H31XRU0,DEV_KBFS0R5T,516,2025-02-13 12:39:00,Bangalore,SUCCESS
TXN_FB1959060D97430E,ACC_3L0W7X5F,MER_SGCPGE1K,DEV_GS6A8AVK,2539,2025-02-14 18:32:00,Mumbai,SUCCESS
TXN_D65901644C6B4F5F,ACC_T5H22IPI,MER_7JL9TXAT,DEV_XBR0FGMK,2181,2025-02-15 23:28:00,Chennai,SUCCESS
TXN_36ED3DD3468548CE,ACC_6O254B6K,MER_JVMR1CD1,DEV_VAV2V6KN,1997,2025-02-16 05:37:00,Bangalore,SUCCESS
TXN_62AAB6A2ED7E4156,ACC_CR0EQXPW,MER_ZWMJ94H3,DEV_DHFZUBAS,2218,2025-02-17 22:12:00,Mumbai,SUCCESS
TXN_AC18CB1B558047BA,ACC_FN51D5KX,MER_MZOUC6FL,DEV_V0X3C7H4,2272,2025-02-18 05:43:00,Hyderabad,SUCCESS
TXN_FD7588A7C2B94FC1,ACC_49DL9Q75,MER_Z4RPWISJ,DEV_XSTOAB1S,180,2025-02-19 08:22:00,Delhi,FAILED
TXN_C6FDD3EC633F4CCF,ACC_5GUR9QEQ,MER_ILPDW0NH,DEV_VAV2V6KN,2116,2025-02-20 16:09:00,Bangalore,SUCCESS
TXN_D24381DF45614915,ACC_LNESCZ18,MER_UV8VCNZN,DEV_PJXW9CKL,1492,2025-02-21 18:21:00,Mumbai,SUCCESS
TXN_9E4E3FA3161D45FC,ACC_0DFX4VBO,MER_UV8VCNZN,DEV_PJXW9CKL,222,2025-02-22 22:52:00,Delhi,FAILED
TXN_EE7ED32C0154410A,ACC_QKKWZD4U,MER_WWJN074L,DEV_4JX5PVUH,1853,2025-02-23 20:41:00,Delhi,SUCCESS
TXN_E628054BC18D4FF2,ACC_SL73RGX6,MER_65D4R7E5,DEV_N12M13HW,1052,2025-02-24 00:02:00,Hyderabad,SUCCESS
TXN_A6CED2DAFC4144CA,ACC_CG0Y52H9,MER_OCI90667,DEV_0V8PAAWD,1534,2025-02-25 07:43:00,Bangalore,SUCCESS
TXN_FD1D03119FE34573,ACC_NDX1NDX0,MER_FY5HRC5L,DEV_PZNQ6E5D,643,2025-02-26 07:01:00,Bangalore,SUCCESS
TXN_DE88D179BE754C60,ACC_X0K6B57Q,MER_O7JBK1O9,DEV_ODQQQC4W,682,2025-02-27 13:26:00,Bangalore,SUCCESS
TXN_C87CA3A3F6714DEB,ACC_QUQ5BXLN,MER_RO1HGOAV,DEV_A8SBB1U7,1173,2025-02-28 21:29:00,Hyderabad,SUCCESS
TXN_AC855C433DC740A6,ACC_RTD3OAA8,MER_QX881QRW,DEV_N12M13HW,2993,2025-03-01 20:30:00,Hyderabad,SUCCESS
TXN_DE340500CFB448F3,ACC_TSJAXS19,MER_L29G5SL6,DEV_C29I4LM2,408,2025-03-02 10:07:00,Delhi,SUCCESS
TXN_C7FD061FA56B4E73,ACC_8D8XPPXX,MER_1XJ2MALM,DEV_N12M13HW,2141,2025-03-03 20:09:00,Hyderabad,SUCCESS
TXN_506D77B72F934BC1,ACC_6IQK88M5,MER_V7PU311X,DEV_23ZV2G2I,1486,2025-03-04 18:25:00,Mumbai,SUCCESS
TXN_CCB6A8D43C3646A6,ACC_4V5SQ0H2,MER_O7JBK1O9,DEV_XXK9V3EV,2727,2025-03-05 12:20:00,Delhi,SUCCESS
TXN_6A98223720E64497,ACC_KK3YRJ36,MER_A3LMX0BY,DEV_4KTM8DMM,666,2025-03-06 14:44:00,Mumbai,SUCCESS
TXN_A22BF1BE906D4E60,ACC_5KXGB3DA,MER_CJ8X613N,DEV_S1KH9TEM,3854,2025-03-07 21:41:00,Chennai,SUCCESS
TXN_A708A28454F5473D,ACC_8PJPB79K,MER_WWJN074L,DEV_UL2T0WWW,3811,2025-03-08 03:02:00,Chennai,SUCCESS
TXN_667EB68336944512,ACC_CH3TWEJG,MER_95ZKO4X6,DEV_H8F43741,1460,2025-03-09 18:04:00,Mumbai,SUCCESS
TXN_242AEFA70BCA49C8,ACC_C1M53QJP,MER_34JY76ZR,DEV_L98B3D59,2454,2025-03-10 22:03:00,Chennai,SUCCESS
TXN_D61EB237E4C04A35,ACC_Z78PW808,MER_UFIH90ET,DEV_RCCJ0WL8,3726,2025-03-11 11:10:00,Delhi,SUCCESS
TXN_296F069B909B4611,ACC_BFNX9WZ6,MER_EDXK3V8R,DEV_AXZ2H3PK,162923,2025-03-12 06:09:00,Bangalore,SUCCESS
TXN_DAAF26D5AA674FE4,ACC_ZH79N3F5,MER_CSK2QTRR,DEV_5HUGPFP0,3585,2025-03-13 17:08:00,Hyderabad,SUCCESS
TXN_28D0B249C4424765,ACC_FQ6ZIFKH,MER_5SPO8N39,DEV_0V8PAAWD,3880,2025-03-14 22:27:00,Delhi,SUCCESS
TXN_6078C07E56504921,ACC_ESL85VY8,MER_YM5TADGG,DEV_ECXS8IEM,446,2025-03-15 15:07:00,Mumbai,SUCCESS
TXN_5D175B1C6D7D498A,ACC_WZMB7FDA,MER_R0EX22BO,DEV_Z6QPF5GD,799,2025-03-16 02:03:00,Delhi,SUCCESS
TXN_6BC710EA62E9464F,ACC_JXXNFQJ9,MER_2C71ZPCV,DEV_MQA20MY6,3252,2025-03-17 15:40:00,Bangalore,SUCCESS
TXN_00AADFBAFC1E4982,ACC_1CX3CL0N,MER_MZOUC6FL,DEV_KAO9ZZ4U,2266,2025-03-18 19:06:00,Delhi,SUCCESS
TXN_4242B85AD26D4777,ACC_1XWI2G42,MER_43HDRCOB,DEV_GME6FNQH,1120,2025-03-19 05:43:00,Hyderabad,SUCCESS
TXN_22BB8DC5CC824A6A,ACC_2DOA7CCI,MER_DQMCOB1W,DEV_C8OJ88KF,2675,2025-03-20 00:47:00,Bangalore,SUCCESS
TXN_FA069868CF1B436B,ACC_MPMACIN5,MER_L2EYB8FC,DEV_T4AD4AI5,803,2025-03-21 05:34:00,Delhi,SUCCESS
